대우,,,,NNP,*,F,대우,*,*,*,*,*
두통,,,,NNP,*,F,두통,*,*,*,*,*
가려움증,,,,NNP,*,F,가려움증,*,*,*,*,*
결막염,,,,NNP,*,F,결막염,*,*,*,*,*
골관절염,,,,NNP,*,F,골관절염,*,*,*,*,*
과체중,,,,NNP,*,F,과체중,*,*,*,*,*
비만,,,,NNP,*,F,비만,*,*,*,*,*
구내염,,,,NNP,*,F,구내염,*,*,*,*,*
굳은살,,,,NNP,*,F,굳은살,*,*,*,*,*
가려움,,,,NNP,*,F,가려움,*,*,*,*,*
근시,,,,NNP,*,F,근시,*,*,*,*,*
구취,,,,NNP,*,F,구취,*,*,*,*,*
기저귀,,,,NNP,*,F,기저귀,*,*,*,*,*
피부염,,,,NNP,*,F,피부염,*,*,*,*,*
기침,,,,NNP,*,F,기침,*,*,*,*,*
객혈,,,,NNP,*,F,객혈,*,*,*,*,*
골절,,,,NNP,*,F,골절,*,*,*,*,*
교통사고,,,,NNP,*,F,교통사고,*,*,*,*,*
구강,,,,NNP,*,F,구강,*,*,*,*,*
건조증,,,,NNP,*,F,건조증,*,*,*,*,*
구강건조증,,,,NNP,*,F,구강건조증,*,*,*,*,*
경부,,,,NNP,*,F,경부,*,*,*,*,*
종괴,,,,NNP,*,F,종괴,*,*,*,*,*
경부종괴,,,,NNP,*,F,경부종괴,*,*,*,*,*
난시,,,,NNP,*,F,난시,*,*,*,*,*
노인성,,,,NNP,*,F,노인성,*,*,*,*,*
난청,,,,NNP,*,F,난청,*,*,*,*,*
탈모,,,,NNP,*,F,탈모,*,*,*,*,*
뇌성,,,,NNP,*,F,뇌성,*,*,*,*,*
마비,,,,NNP,*,F,마비,*,*,*,*,*
뇌성마비,,,,NNP,*,F,뇌성마비,*,*,*,*,*
눈꺼풀,,,,NNP,*,F,눈꺼풀,*,*,*,*,*
눈꺼플,,,,NNP,*,F,눈꺼플,*,*,*,*,*
눈꺼풀처짐,,,,NNP,*,F,눈꺼풀처짐,*,*,*,*,*
눈커풀,,,,NNP,*,F,눈커풀,*,*,*,*,*
처짐,,,,NNP,*,F,처짐,*,*,*,*,*
안검하수,,,,NNP,*,F,안검하수,*,*,*,*,*
눈충혈,,,,NNP,*,F,눈충혈,*,*,*,*,*
충혈,,,,NNP,*,F,충혈,*,*,*,*,*
농가진,,,,NNP,*,F,농가진,*,*,*,*,*
다래끼,,,,NNP,*,F,다래끼,*,*,*,*,*
